Binary,Pcap,Time(s),Size(mb),Throughput(mb/s),Bandwidth(MBit/s)
,,5.674,1,.17624250969333803313,1.40994007754670426504
,,4.243,1,.23568230025925053028,1.88545840207400424224
,,4.796,1,.20850708924103419516,1.66805671392827356128
,,3.305,1,.30257186081694402420,2.42057488653555219360
,,5.804,1,.17229496898690558235,1.37835975189524465880
,,5.484,1,.18234865061998541210,1.45878920495988329680
,,4.599,1,.21743857360295716460,1.73950858882365731680
,,5.233,1,.19109497420217848270,1.52875979361742786160
,,4.019,1,.24881811395869619308,1.99054491166956954464
,,4.233,1,.23623907394283014410,1.88991259154264115280
,,5.760,1,.17361111111111111111,1.38888888888888888888
,,5.919,1,.16894745734076702145,1.35157965872613617160
,,3.388,1,.29515938606847697756,2.36127508854781582048
,,5.261,1,.19007793195210036114,1.52062345561680288912
,,5.367,1,.18632383081796161729,1.49059064654369293832
,,4.151,1,.24090580582992050108,1.92724644663936400864
,,5.147,1,.19428793471925393433,1.55430347775403147464
,,4.460,1,.22421524663677130044,1.79372197309417040352
,,5.432,1,.18409425625920471281,1.47275405007363770248
,,6.098,1,.16398819285011479173,1.31190554280091833384
